date,calib_params,train_mse,train_mape,test_mse,test_mape
2021-04-19,"[0.0807591869478497, 1.0379701578020675, 79.5019288719919, 6.379554647537459, 0.1080369757294797]",4051.6100220303792,0.22308228197768276,4648.897286828739,0.26952768420249656
2021-04-20,"[0.09290280322304822, 0.8895455621323582, 151.68229892624498, 6.525669362412428, 0.0012179064002053297]",4578.839155508724,0.22973501225876677,4552.396367994039,0.1572798191117569
2021-04-21,"[0.07351123516748317, 24.91169517356846, 158.52183337034228, 6.551061259803934, 0.9602535789739686]",4439.374417311663,0.16285197130385798,3998.3820295437795,0.2011399491512526
2021-04-22,"[0.08551651827234907, 1.4335579666943197, 73.49778155495677, 7.799170662200908, 6.221985069068733e-11]",3562.458180900274,0.19804278418880195,4626.4477438510885,0.20453791156942192
2021-04-23,"[0.10079098161493802, 2.244903598624507, 93.05457107003761, 7.015890226167542, 0.5724702713377988]",3870.2760764614595,0.1778182420016848,4925.836778892458,0.1906860644879645
2021-04-26,"[0.07528848342708408, 1.9926312493429224, 47.487575809999285, 6.369157296155642, 0.5856701393128139]",4297.0999294728,0.21988061391703756,7388.611142897274,0.1943570242646924
2021-04-27,"[0.005306233734701619, 95.45830040434872, 214.6335253622367, 6.4937480275245, 0.988562245892261]",6073.496827449902,0.22541580353328886,5672.535904203298,0.2613216789053495
2021-04-28,"[0.08282720636528487, 0.6750800863413908, 93.2736167772627, 5.562442583359619, 0.004102885122122837]",4728.07818975961,0.2509636224338271,2657.384077718319,0.2398453310068352
2021-04-29,"[0.09895252155055587, 0.5224375061935473, 87.53634904063627, 5.034804248131206, 0.0011093540554076456]",2510.324100253652,0.20766483363950528,3967.2359598718735,0.2112659414655065
2021-05-03,"[0.029586233058765635, 14.004490519391378, 76.0074106927689, 7.015768197766173, 0.926592328616217]",3701.3279713639804,0.19373693840889106,4195.379898805483,0.2503176407458724
2021-05-04,"[0.08970844953262386, 1.371267104254595, 17.071185950775224, 8.044912914503037, 0.0555558469956695]",3494.3294623411057,0.22558786552682203,7591.480543003179,0.30080866923334987
2021-05-05,"[0.08460518398490005, 1.4223576861103122, 125.07915352618531, 7.356995083700507, 0.00010707858428607778]",6638.603628339223,0.3326473826418644,7209.3187376167,0.31605403697998946
2021-05-06,"[0.08031624926376423, 1.8992386458371833, 111.23459714408187, 8.644697769097593, 4.1135309374334963e-11]",7123.219166058972,0.3184501252926627,5854.882703647313,0.3167806310837864
2021-05-07,"[0.07823647243957782, 1.3263644787669011, 79.15155665226948, 7.083755298681851, 0.05447561755262581]",5328.109727874855,0.3267554871082152,5889.249828754808,0.2853948689496157
2021-05-10,"[0.0013563164116430027, 1.2195281584865745, 4.633012619651385, 6.82497303467022, 0.06258631187497578]",5598.234375788167,0.517418546330131,4260.716563553869,0.42957556049756834
2021-05-11,"[0.02534581420315174, 25.084211864392614, 107.39875134224079, 10.01694098645053, 0.9043095642860861]",2393.6097438085726,0.24280807751382008,8403.080073207831,0.3509888220800777
2021-05-12,"[0.08938694203157709, 1.2571763482264218, 133.90089019711468, 6.813206148765698, 0.01752611221606279]",8175.17700096321,0.35421264908907224,45111.10490479847,0.5455848325812492
2021-05-13,"[0.07935309402052641, 1.9232924764754462, 36.00550474567618, 6.0805929486021055, 0.004075650730765669]",29614.48421001794,0.5376835445887299,12618.194739522512,0.5294072856991469
2021-05-14,"[0.12326085708944816, 1.1965823984715191, 219.34370642234768, 4.967797058820676, 0.14007216235839648]",10513.507469534947,0.490790422134267,9748.118527954726,0.43430377911532203
2021-05-17,"[0.0008212855440719721, 6.8041555880940745, 43.20574581921217, 5.681082524818618, 0.7886780294048548]",9290.685621765704,0.3413410518906048,17389.408702106608,0.4733271084302923
2021-05-18,"[2.885870815980919e-12, 9.042253835200285, 46.01226753820244, 5.84550338988879, 0.7966880406488949]",14633.883095718858,0.4535614208101316,18976.539231087863,0.30529676613664986
