timestamp,true_price,estimated_price,moneyness,time_to_maturity
2021.08.017.0,404.11688,450.48523,-0.067542076,0.0
2021.09.07.0,320.0,297.735,0.5820589,0.0
2021.011.012.0,164.0,182.5792,-0.9345887,1.0
2021.09.030.0,297.63983,267.04706,0.6174092,2.0
2021.010.022.0,0.19999695,3.1890411,-2.7606637,1.0
2021.05.03.0,150.0,263.61426,-0.3895793,247.0
2021.05.03.0,815.0,818.9148,0.018139482,0.0
2021.011.012.0,36.0,31.475586,-1.6709771,0.0
2021.011.012.0,292.70773,326.5817,0.4252261,3.0
2021.03.017.0,26.298569,20.901276,1.8893764,123.0
2021.01.022.0,286.0,214.50708,0.34315515,0.0
2021.012.03.0,77.0,68.30712,-0.58005166,9792.0
2021.09.030.0,322.92535,293.11478,0.33960032,4.0
2021.07.06.0,125.0,105.739845,0.47525644,0.0
2021.03.017.0,835.1166,805.7672,-0.050194383,0.0
2021.012.024.0,4.800003,6.484497,-2.3177516,0.0
2021.05.024.0,469.44562,399.4804,0.3755393,14.0
2021.011.012.0,53.53099,49.700653,1.6668226,105.0
2021.02.023.0,57.0,54.582443,-1.3424144,0.0
2021.05.024.0,11.375458,17.787018,2.4085097,117.0
2021.011.012.0,466.0,428.83606,-0.092345715,11.0
2021.09.030.0,76.74478,58.713707,1.3579241,9.0
2021.08.017.0,14.5,13.051514,-2.0416307,1.0
2021.03.017.0,78.94059,66.02532,1.3660972,6.0
2021.05.024.0,501.0948,479.9422,0.6197672,0.0
2021.05.024.0,299.20197,209.83548,-0.51277757,0.0
2021.08.017.0,487.46472,418.19617,0.48384154,12.999985
2021.01.022.0,15.98233,15.57634,2.0215273,334.0
2021.03.017.0,531.6126,503.97296,0.50125074,0.0
2021.03.017.0,36.963577,40.58261,2.0724037,5.0
2021.012.024.0,12.051239,9.694351,2.3346105,487.0
2021.08.017.0,841.9917,653.33765,0.28055453,1.0
2021.06.015.0,131.0,113.11977,-0.7810061,627.0
2021.011.012.0,0.19999695,4.2000885,-3.2553642,221.0
2021.05.03.0,21.832123,12.407654,1.9530356,288.0
2021.05.024.0,1.6000061,-0.78985596,-2.7398107,148.0
2021.012.024.0,19.501297,15.267181,1.861347,674.0
2021.09.07.0,0.19999695,3.7476196,-2.9870765,0.0
2021.07.027.0,238.0,273.44,-0.75983405,0.0
2021.05.03.0,115.0,169.1514,-0.047104597,5223.0
2021.09.030.0,38.07831,13.211075,1.3533528,456.0
2021.010.022.0,60.96998,50.1093,1.5659807,3.0
