timestamp,true_price,estimated_price,moneyness,time_to_maturity,volume,underlying_price,cp_flag
2021.06.015.0,76.0,99.187546,-1.2579689,0.2630137,54.0,9.725855,1.0
2021.03.017.0,370.00006,341.47107,-0.42069685,0.25205478,10.0,9.687444,1.0
2021.011.012.0,0.3,0.48956633,-2.7509773,0.01643835,18.0,9.76824,1.0
2021.010.022.0,265.99994,279.96793,-0.83260113,0.4,30.0,9.721366,1.0
2021.01.022.0,10.0,11.068041,-2.2045267,0.15068494,124.0,9.683339,1.0
2021.06.015.0,515.0,540.2048,-0.32587636,0.51232874,12.999985,9.714867,1.0
2021.06.015.0,795.0002,725.20154,0.24965787,0.18630137,0.0,9.736488,0.0
2021.011.012.0,9.299999,18.663734,-1.1119437,0.01643835,7857.0,9.76824,1.0
2021.07.06.0,2099.9998,1979.1677,0.7896004,0.44657534,0.0,9.76319,0.0
2021.010.022.0,333.00006,348.41574,-0.6634489,0.4,5.0,9.721366,1.0
2021.012.024.0,236.00003,317.09427,-0.36578965,0.15068494,8.0,9.793784,1.0
2021.07.06.0,54.000004,90.17548,-1.0300461,0.04383561,1992.0,9.792444,1.0
2021.09.030.0,360.00003,344.38974,-0.66377264,0.46027398,6.0,9.715953,0.0
2021.01.022.0,365.0001,411.94574,-0.123016894,0.15068494,181.0,9.683339,0.0
2021.06.015.0,200.00002,278.76474,-0.20447397,0.10958904,568.0,9.747067,1.0
2021.09.030.0,145.0,104.55922,-0.8617098,0.13424657,26.0,9.728479,1.0
2021.02.023.0,211.0,218.89543,-1.0230596,0.56164384,4.0,9.666055,0.0
2021.010.022.0,17.500002,15.423191,-2.0198376,0.15068494,5.0,9.72836,1.0
2021.08.017.0,2.0999997,0.99097484,-2.6230543,0.08219178,1630.0,9.720646,0.0
2021.04.09.0,1130.0001,1230.3126,0.7941352,0.1890411,0.0,9.730621,0.0
2021.09.07.0,1119.9999,1229.2571,0.58205736,0.19726028,0.0,9.763938,0.0
2021.09.07.0,0.39999998,0.99544185,-2.7512288,0.024657533,85.0,9.769728,0.0
2021.08.017.0,82.999985,117.56693,-1.340836,0.58082193,16.0,9.709964,0.0
2021.03.017.0,200.00002,183.1731,-1.048494,0.50136983,6.0,9.660141,1.0
2021.07.06.0,1110.0002,974.1173,1.4260097,0.04383561,0.0,9.792444,0.0
2021.05.03.0,1280.0,1554.8406,0.34749663,0.63013697,0.0,9.731512,0.0
2021.07.027.0,162.99997,159.01096,-1.1727513,0.3890411,1.0,9.741792,1.0
2021.010.022.0,167.0,181.884,-0.90497017,0.4,1.0,9.721366,0.0
2021.08.017.0,15.000001,18.315598,-1.8007218,0.1780822,0.0,9.71776,0.0
2021.07.027.0,216.99995,208.96054,-0.34355974,0.0630137,604.0,9.752781,1.0
2021.07.027.0,1.8999999,1.5739306,-2.4534013,0.0630137,1.0,9.752781,0.0
2021.012.03.0,1.5999999,1.3597516,-2.6213589,0.035616443,0.0,9.781602,1.0
2021.01.022.0,8.0,11.102251,-2.2744884,0.15068494,7.0,9.683339,1.0
2021.07.027.0,894.9998,946.0441,0.10993147,0.3890411,0.0,9.741792,0.0
2021.010.022.0,447.99994,415.46957,-0.3932588,0.4,21.0,9.721366,0.0
2021.09.030.0,644.99994,564.55084,-0.24024683,0.46027398,0.0,9.715953,1.0
2021.02.023.0,235.00003,200.27869,-0.5997698,0.1589041,4.0,9.700147,0.0
2021.07.027.0,2540.0005,2573.608,1.64713,0.13972603,0.0,9.748178,0.0
2021.08.017.0,6.1000004,8.572125,-1.9411776,0.08219178,289.0,9.720646,0.0
2021.09.07.0,1.5,3.1505883,-2.200099,0.024657533,343.0,9.769728,0.0
2021.011.012.0,270.00003,283.12927,0.56666887,0.01643835,0.0,9.76824,0.0
2021.05.03.0,2.2,1.5577996,-2.4067583,0.05479452,23.0,9.774005,0.0
2021.012.024.0,24.499996,35.84924,-1.8636727,0.22739726,2.0,9.790207,1.0
2021.07.06.0,80.0,65.01151,-1.1622188,0.19726028,27.0,9.773948,0.0
2021.07.027.0,235.00003,240.28549,-0.9176641,0.3890411,2.0,9.741792,1.0
2021.02.023.0,15.499999,10.949261,-1.7951161,0.0630137,227.0,9.704122,0.0
2021.09.030.0,48.999992,34.0457,-1.1674049,0.057534248,7749.0,9.730502,1.0
2021.05.024.0,28.000002,25.230711,-1.6446514,0.071232885,278.0,9.696279,1.0
2021.011.012.0,268.00006,290.83072,-0.42522597,0.1890411,3.0,9.763651,1.0
2021.06.015.0,62.999992,69.048615,-1.5514514,0.51232874,3.0,9.714867,0.0
2021.012.024.0,14.499999,13.549174,-1.8702567,0.22739726,1.0,9.790207,0.0
2021.09.07.0,426.0001,397.8655,-0.41392946,0.2739726,0.0,9.761579,1.0
2021.05.024.0,46.5,33.251278,-1.4893517,0.16712329,25.0,9.689117,0.0
2021.011.012.0,377.99997,437.88608,0.05728352,0.093150675,0.0,9.7668085,0.0
2021.011.012.0,130.00003,145.06853,-1.0674101,0.34246576,4.0,9.758808,0.0
2021.02.023.0,340.0,304.4234,-0.5824454,0.31232876,30.0,9.692149,1.0
2021.09.030.0,384.99997,383.21255,-0.27155054,0.13424657,65.0,9.728479,0.0
2021.09.07.0,0.19999999,0.33623618,-3.2111943,0.024657533,302.0,9.769728,1.0
2021.012.03.0,1339.9998,1199.3223,0.24964905,0.53424656,0.0,9.7648,0.0
2021.05.03.0,835.0,1134.3038,0.7928238,0.13150683,0.0,9.77087,0.0
2021.07.027.0,358.0001,348.73154,-0.7719814,0.63835615,0.0,9.733647,1.0
2021.05.024.0,769.99994,909.4643,0.23197031,0.16712329,0.0,9.689117,1.0
2021.06.015.0,270.00003,354.73273,-0.004075527,0.10958904,529.0,9.747067,1.0
2021.08.017.0,1350.0002,1726.4674,0.57944834,0.33150685,0.0,9.71396,0.0
2021.08.017.0,844.9999,551.39734,0.30405068,0.1780822,0.0,9.71776,1.0
2021.012.024.0,3.0999997,2.3115344,-2.3042374,0.07397261,0.0,9.795568,0.0
2021.01.022.0,1150.0001,1237.8962,0.17610729,0.64931506,0.0,9.644652,0.0
2021.04.09.0,43.000004,48.481125,-1.7697712,0.43835616,27.0,9.70186,1.0
2021.010.022.0,1920.0001,1908.7012,1.2267134,0.15068494,0.0,9.72836,0.0
2021.09.030.0,51.0,51.94228,-1.6496241,0.46027398,0.0,9.715953,0.0
2021.012.03.0,18.0,19.54574,-1.7414439,0.20821919,0.0,9.776676,0.0
2021.09.030.0,209.99997,220.5626,-0.7402533,0.2109589,2.0,9.72669,0.0
2021.07.06.0,1920.0001,1948.3257,1.4518692,0.12054794,0.0,9.77985,0.0
2021.08.017.0,18.499998,20.651237,-1.8964151,0.33150685,0.0,9.71396,0.0
2021.012.03.0,12.500001,7.3452725,-1.441572,0.035616443,1500.0,9.781602,0.0
2021.09.07.0,205.99998,247.93991,-0.6558555,0.2739726,7.0,9.761579,0.0
2021.06.015.0,36.0,32.915478,-1.4274274,0.10958904,130.99998,9.747067,0.0
2021.09.07.0,27.000002,26.80529,-1.7746426,0.12054794,17.0,9.76612,1.0
2021.09.07.0,850.0,829.1482,-0.09624094,0.52328765,6.0,9.754756,1.0
2021.03.017.0,424.00006,381.19943,-0.5734384,0.50136983,0.0,9.660141,1.0
2021.05.03.0,995.0001,1297.2175,0.9419868,0.13150683,0.0,9.77087,0.0
2021.09.07.0,21.000008,21.394058,-1.8694217,0.2739726,0.0,9.761579,0.0
2021.010.022.0,600.00006,602.0541,-0.24541855,0.4,1.0,9.721366,1.0
2021.011.012.0,117.00002,107.47154,-0.6223261,0.093150675,1093.0,9.7668085,1.0
2021.010.022.0,55.000008,70.92983,-1.4767253,0.4,96.0,9.721366,0.0
2021.012.024.0,96.0,79.30318,-0.8771717,0.15068494,75.0,9.793784,0.0
2021.010.022.0,669.9999,685.91266,-0.13510251,0.4,1.0,9.721366,1.0
2021.05.024.0,730.0002,615.8613,-0.2551654,0.569863,5.0,9.654449,0.0
2021.01.022.0,50.000004,23.118896,-1.3938305,0.07397261,3157.0,9.6883745,1.0
2021.012.03.0,754.9999,690.6347,1.0490868,0.035616443,0.0,9.781602,0.0
2021.07.027.0,238.99994,233.05765,-0.1242013,0.0630137,1480.0002,9.752781,0.0
2021.03.017.0,26.499998,52.887615,-1.2683969,0.09863014,365.0,9.695232,0.0
2021.03.017.0,162.00002,153.43764,-1.1644557,0.50136983,2.0,9.660141,1.0
2021.07.06.0,2679.9995,2549.6135,2.159923,0.04383561,0.0,9.792444,0.0
2021.012.03.0,170.0,150.03986,-0.8636187,0.2849315,6.0,9.773322,0.0
2021.05.024.0,167.99997,214.07968,-0.68675303,0.071232885,772.0,9.696279,1.0
2021.09.07.0,0.19999999,0.32902664,-2.9627192,0.024657533,0.0,9.769728,0.0
2021.05.03.0,120.00001,108.08548,-1.3182123,0.3808219,0.0,9.74367,1.0
2021.09.030.0,60.000004,49.73577,-1.6155267,0.2109589,1.0,9.72669,1.0
2021.012.024.0,30.500002,27.487797,-1.4563693,0.15068494,74.0,9.793784,0.0
2021.03.017.0,3.7000012,8.399349,-2.0568628,0.09863014,34.0,9.695232,0.0
2021.012.03.0,1219.9999,1158.8788,1.5441947,0.035616443,0.0,9.781602,0.0
2021.08.017.0,12.999999,13.873305,-1.905642,0.1780822,6.0,9.71776,0.0
2021.09.07.0,30.500002,35.362026,-1.6562505,0.12054794,3.0,9.76612,1.0
2021.011.012.0,48.500004,61.408367,-1.6531022,0.34246576,29.0,9.758808,1.0
2021.011.012.0,153.0,167.8901,-1.1949962,0.5917808,30.0,9.752257,1.0
2021.09.07.0,13.500001,24.429962,-1.7734836,0.12054794,8.0,9.76612,0.0
2021.09.030.0,12.0,10.733604,-2.009594,0.2109589,39.0,9.72669,0.0
2021.03.017.0,135.00002,161.30289,-1.1551336,0.50136983,0.0,9.660141,0.0
2021.01.022.0,15.000001,13.040401,-2.051239,0.15068494,9.0,9.683339,1.0
2021.02.023.0,51.0,35.308453,-1.2293593,0.0630137,1097.0,9.704122,0.0
2021.011.012.0,315.99994,375.60797,-0.07106811,0.093150675,602.0,9.7668085,0.0
2021.05.03.0,12.0,16.127432,-2.0757437,0.13150683,15.0,9.77087,1.0
2021.05.024.0,820.0,662.21277,0.0,0.32054794,1.0,9.667766,0.0
2021.05.024.0,1210.0002,1342.2079,0.72698927,0.16712329,0.0,9.689117,1.0
2021.07.06.0,1.0,0.5666715,-2.6279905,0.04383561,0.0,9.792444,0.0
2021.012.03.0,1030.0,965.24243,1.3466485,0.035616443,0.0,9.781602,0.0
2021.011.012.0,0.79999995,0.68382937,-2.5447197,0.01643835,120.0,9.76824,1.0
2021.010.022.0,279.0,227.19614,-0.016817212,0.07397261,1606.0,9.729908,1.0
2021.012.03.0,935.00006,857.1071,1.2579806,0.035616443,0.0,9.781602,0.0
2021.03.017.0,315.99994,471.44806,0.044542193,0.09863014,0.0,9.695232,0.0
2021.07.027.0,192.0,184.04459,-0.25684696,0.0630137,1610.0,9.752781,0.0
2021.08.017.0,515.0,408.04495,-0.5508482,0.58082193,1.0,9.709964,1.0
2021.012.024.0,1130.0001,990.57245,0.6011554,0.22739726,0.0,9.790207,0.0
2021.04.09.0,262.00003,290.04425,-0.8307954,0.68767124,0.0,9.690975,0.0
2021.04.09.0,15.499999,14.854371,-2.0839913,0.1890411,0.0,9.730621,1.0
