timestamp,true_price,estimated_price,strike_price,time_to_maturity,volume,underlying_price
2021.01.020.0,400.0,515.17816,15800.0,0.15616438,6.0,15768.0
2021.01.019.0,830.0,910.6682,15400.0,0.40821916,4.0,15292.0
2021.01.020.0,775.0,928.73914,15400.0,0.40547946,0.0,15571.0
2021.01.019.0,1100.0,1124.6863,15000.0,0.65753424,14.0,14870.0
2021.01.020.0,975.0,1161.0457,15000.0,0.6547945,0.0,15178.0
2021.01.019.0,960.0,889.34485,15000.0,0.08219178,0.0,15559.0
2021.01.020.0,870.0,926.1759,15000.0,0.07945205,0.0,15847.0
2021.01.019.0,805.0,715.29126,15200.0,0.08219178,0.0,15559.0
2021.01.020.0,710.0,747.6459,15200.0,0.07945205,0.0,15847.0
2021.01.019.0,645.0,586.3451,15400.0,0.08219178,0.0,15559.0
2021.01.020.0,555.0,608.3626,15400.0,0.07945205,0.0,15847.0
2021.01.019.0,505.0,454.84485,15600.0,0.08219178,882.0,15559.0
2021.01.020.0,432.0,476.60992,15600.0,0.07945205,0.0,15847.0
2021.01.019.0,11.5,24.85849,9400.0,0.1589041,2.0,15478.0
2021.01.020.0,13.5,22.016754,9400.0,0.15616438,45.0,15768.0
2021.01.019.0,1100.0,1050.0762,14900.0,0.1589041,0.0,15478.0
2021.01.020.0,985.0,1076.3871,14900.0,0.15616438,0.0,15768.0
2021.01.019.0,1000.0,965.95337,15000.0,0.1589041,0.0,15478.0
2021.01.020.0,910.0,991.4026,15000.0,0.15616438,0.0,15768.0
2021.01.019.0,860.0,820.6664,15200.0,0.1589041,0.0,15478.0
2021.01.020.0,765.0,844.0371,15200.0,0.15616438,0.0,15768.0
2021.01.019.0,695.0,689.4824,15400.0,0.1589041,0.0,15478.0
2021.01.020.0,650.0,709.91736,15400.0,0.15616438,0.0,15768.0
2021.01.019.0,1230.0,1274.435,14800.0,0.40821916,0.0,15292.0
2021.01.020.0,1150.0,1282.0343,14800.0,0.40547946,0.0,15571.0
2021.01.019.0,1090.0,1120.9923,15000.0,0.40821916,0.0,15292.0
2021.01.020.0,1010.0,1127.2535,15000.0,0.40547946,0.0,15571.0
2021.01.019.0,492.0,469.73572,13800.0,0.65753424,0.0,14870.0
2021.01.020.0,545.0,455.69897,13800.0,0.6547945,0.0,15178.0
2021.01.019.0,1210.0,1258.1427,14800.0,0.65753424,0.0,14870.0
2021.01.020.0,1100.0,1275.3136,14800.0,0.6547945,0.0,15178.0
2021.01.019.0,1050.0,984.0432,14900.0,0.08219178,0.0,15559.0
2021.01.020.0,945.0,1021.56116,14900.0,0.07945205,0.0,15847.0
2021.01.019.0,1170.0,1150.3024,14800.0,0.1589041,0.0,15478.0
2021.01.020.0,1070.0,1167.5452,14800.0,0.15616438,0.0,15768.0
2021.01.019.0,1360.0,1426.4596,14600.0,0.40821916,0.0,15292.0
2021.01.020.0,1340.0,1428.9806,14600.0,0.40547946,0.0,15571.0
2021.01.019.0,1130.0,1089.3145,14800.0,0.08219178,0.0,15559.0
2021.01.020.0,1030.0,1127.0397,14800.0,0.07945205,0.0,15847.0
2021.02.017.0,259.0,195.79773,17400.0,0.35890412,10.0,15529.0
2021.02.018.0,282.0,214.94435,17400.0,0.3260274,0.0,16143.0
2021.02.019.0,263.0,243.1585,17400.0,0.32328767,3.0,16215.0
2021.02.017.0,115.0,129.76819,11200.0,0.6082192,51.0,15146.0
2021.02.018.0,108.0,119.37863,11200.0,0.5753425,43.0,15642.0
2021.02.019.0,113.0,107.12038,11200.0,0.57260275,29.0,15791.0
2021.02.017.0,145.0,170.17914,11800.0,0.6082192,0.0,15146.0
2021.02.018.0,140.0,155.29892,11800.0,0.5753425,12.0,15642.0
2021.02.019.0,146.0,139.47946,11800.0,0.57260275,5.0,15791.0
2021.02.017.0,165.0,185.89532,12000.0,0.6082192,0.0,15146.0
2021.02.018.0,153.0,170.55566,12000.0,0.5753425,18.0,15642.0
2021.02.019.0,164.0,153.85294,12000.0,0.57260275,0.0,15791.0
2021.02.017.0,175.0,207.99594,12200.0,0.6082192,0.0,15146.0
2021.02.018.0,167.0,189.14764,12200.0,0.5753425,0.0,15642.0
2021.02.019.0,183.0,169.09935,12200.0,0.57260275,0.0,15791.0
2021.02.017.0,433.0,538.3141,14000.0,0.6082192,0.0,15146.0
2021.02.018.0,380.0,489.4704,14000.0,0.5753425,0.0,15642.0
2021.02.019.0,429.0,431.86636,14000.0,0.57260275,2.0,15791.0
2021.02.017.0,26.0,32.541687,9600.0,0.35890412,46.0,15529.0
2021.02.018.0,25.0,26.07315,9600.0,0.3260274,38.0,16143.0
2021.02.019.0,26.5,20.296051,9600.0,0.32328767,5.0,16215.0
2021.02.017.0,29.5,36.09552,10000.0,0.35890412,25.0,15529.0
2021.02.018.0,29.5,29.113312,10000.0,0.3260274,57.999985,16143.0
2021.02.019.0,36.0,22.803314,10000.0,0.32328767,35.0,16215.0
2021.02.017.0,42.0,50.526855,11000.0,0.35890412,3.0,15529.0
2021.02.018.0,38.0,41.928894,11000.0,0.3260274,25.0,16143.0
2021.02.019.0,43.5,33.78711,11000.0,0.32328767,2.0,16215.0
2021.02.017.0,51.0,60.16278,11400.0,0.35890412,0.0,15529.0
2021.02.018.0,42.0,50.302246,11400.0,0.3260274,1.0,16143.0
