,timestamp,true price,estimated price,strike price,time to maturity
11027,2021.011.02.0,45.764378,47.112576,18050.67,0.10776067
11028,2021.011.03.0,43.0123,42.59954,18050.67,0.10539725
11029,2021.011.01.0,5.7675095,8.395424,18145.63,0.048674982
11030,2021.011.02.0,4.4832077,7.213661,18145.63,0.0415847
11031,2021.011.03.0,4.0245285,6.141762,18145.63,0.03922127
11032,2021.011.01.0,42.553623,38.153233,18145.63,0.11485095
11033,2021.011.02.0,32.921345,36.97454,18145.63,0.10776067
11034,2021.011.03.0,32.921345,31.468056,18145.63,0.10539725
11035,2021.011.02.0,211.80643,178.95428,18145.63,0.32283258
11036,2021.011.03.0,193.45923,200.54971,18145.63,0.32046914
11037,2021.011.01.0,4.391472,6.1617813,18240.594,0.048674982
11038,2021.011.02.0,3.3823776,4.173004,18240.594,0.0415847
11039,2021.011.03.0,3.10717,2.5466995,18240.594,0.03922127
11040,2021.011.01.0,34.756065,30.360657,18240.594,0.11485095
11041,2021.011.02.0,28.334553,31.047825,18240.594,0.10776067
11042,2021.011.03.0,25.582474,29.257805,18240.594,0.10539725
11043,2021.011.01.0,3.6575851,3.03833,18335.555,0.048674982
11044,2021.011.02.0,3.0154343,2.0697632,18335.555,0.0415847
11045,2021.011.01.0,27.875874,25.244717,18335.555,0.11485095
11046,2021.011.02.0,22.830395,27.611881,18335.555,0.10776067
11047,2021.011.03.0,20.078316,20.803528,18335.555,0.10539725
11048,2021.011.01.0,3.0154343,2.5723343,18430.518,0.048674982
11049,2021.011.02.0,2.4650192,1.4501648,18430.518,0.0415847
11050,2021.011.03.0,2.556755,0.9029312,18430.518,0.03922127
11051,2021.011.01.0,20.995674,23.228,18430.518,0.11485095
11052,2021.011.02.0,18.243599,24.384377,18430.518,0.10776067
11053,2021.011.03.0,15.950203,18.48896,18430.518,0.10539725
11054,2021.011.01.0,2.6484833,1.0192108,18525.479,0.048674982
11055,2021.011.02.0,1.9145966,0.59391785,18525.479,0.0415847
11056,2021.011.03.0,2.189804,-0.7523575,18525.479,0.03922127
11057,2021.011.02.0,14.574158,13.577858,18525.479,0.10776067
11058,2021.011.03.0,13.19812,10.308716,18525.479,0.10539725
11059,2021.011.03.0,2.00634,-1.754715,18620.441,0.03922127
11060,2021.011.01.0,11.363403,11.981239,18715.402,0.11485095
11061,2021.011.02.0,9.89563,12.320335,18715.402,0.10776067
11062,2021.011.03.0,9.070007,10.819794,18715.402,0.10539725
11063,2021.011.01.0,6.2261887,7.8770294,18905.326,0.11485095
11064,2021.011.02.0,6.7766037,7.243065,18905.326,0.10776067
11065,2021.011.03.0,6.0427094,8.178741,18905.326,0.10539725
11066,2021.011.03.0,69.61572,69.89516,18905.326,0.32046914
11067,2021.011.01.0,3.198906,0.91444397,19665.02,0.11485095
11068,2021.011.02.0,6.2261887,1.3438263,19665.02,0.10776067
11069,2021.011.03.0,2.6484833,5.744568,19665.02,0.10539725
11070,2021.011.02.0,32.00399,28.934654,20804.562,0.5379045
11071,2021.011.03.0,29.251907,27.59291,20804.562,0.53554106
11072,2021.011.01.0,0.9055023,-0.5067673,21564.258,0.11485095
11073,2021.011.02.0,0.9055023,-0.95475006,21564.258,0.10776067
11074,2021.011.03.0,0.9055023,-0.39804077,21564.258,0.10539725
11075,2021.011.03.0,8.794792,21.132103,21564.258,0.32046914
11076,2021.011.08.0,4.6666794,2.6446,12447.923,0.09830696
11077,2021.011.09.0,5.2170944,0.049209595,12447.923,0.091216676
11078,2021.011.010.0,5.6757812,0.091308594,12447.923,0.08885325
11079,2021.011.09.0,5.8592453,2.4842453,12637.846,0.09830696
11080,2021.011.010.0,5.492302,1.0963058,12637.846,0.08885325
11081,2021.011.09.0,6.3179245,2.8843536,12827.77,0.091216676
11082,2021.011.010.0,6.7766037,6.2054367,13017.693,0.08885325
11083,2021.011.08.0,6.1344604,5.491646,13207.617,0.09830696
11084,2021.011.09.0,8.886536,2.9891663,13207.617,0.091216676
11085,2021.011.010.0,7.3270187,6.25856,13207.617,0.08885325
11086,2021.011.08.0,54.937973,51.40048,13207.617,0.3133789
11087,2021.011.09.0,48.516457,52.26879,13207.617,0.3062886
11088,2021.011.010.0,50.351173,50.06294,13207.617,0.30392516
11089,2021.011.08.0,122.82257,149.55876,13207.617,0.52845085
11090,2021.011.09.0,102.64066,134.91301,13207.617,0.5213605
11091,2021.011.010.0,104.47538,115.14298,13207.617,0.51899713
11092,2021.011.010.0,8.060913,6.1787567,13397.541,0.08885325
11093,2021.011.09.0,9.987366,4.727333,13587.465,0.09830696
11094,2021.011.010.0,9.528687,4.7368546,13587.465,0.08885325
11095,2021.011.09.0,9.345215,5.4636,13777.388,0.091216676
11096,2021.011.010.0,10.446045,6.1516876,13777.388,0.08885325
11097,2021.011.08.0,1.2724533,-0.997879,13967.312,0.032130986
11098,2021.011.09.0,1.3641815,-1.6604996,13967.312,0.025040701
11099,2021.011.010.0,1.0889816,-0.84454346,13967.312,0.022677273
11100,2021.011.08.0,9.528687,12.253006,13967.312,0.09830696
11101,2021.011.09.0,11.363403,5.222328,13967.312,0.091216676
11102,2021.011.010.0,11.363403,6.748398,13967.312,0.08885325
11103,2021.011.08.0,1.2724533,1.7245255,14062.273,0.032130986
11104,2021.011.09.0,1.4559174,0.92663574,14062.273,0.025040701
11105,2021.011.09.0,9.987366,8.146042,14062.273,0.091216676
11106,2021.011.010.0,11.8220825,5.581024,14062.273,0.08885325
11107,2021.011.08.0,1.4559174,-2.799797,14157.235,0.032130986
11108,2021.011.09.0,1.2724533,1.0844345,14157.235,0.025040701
11109,2021.011.010.0,1.3641815,-0.72164917,14157.235,0.022677273
11110,2021.011.08.0,9.803894,10.930649,14157.235,0.09830696
11111,2021.011.09.0,11.363403,6.773163,14157.235,0.091216676
11112,2021.011.010.0,11.8220825,7.505516,14157.235,0.08885325
11113,2021.011.09.0,1.4559174,7.4376984,14252.197,0.025040701
11114,2021.011.09.0,1.4559174,-4.267784,14347.158,0.025040701
11115,2021.011.010.0,1.5476608,-2.0207672,14442.121,0.022677273
11116,2021.011.08.0,41.17758,50.278576,14442.121,0.18102694
11117,2021.011.09.0,35.673428,45.40595,14442.121,0.17393665
11118,2021.011.010.0,32.921345,40.656998,14442.121,0.17157322
11119,2021.011.08.0,1.1807175,-1.6761551,14537.082,0.032130986
11120,2021.011.09.0,2.556755,-4.4977417,14537.082,0.025040701
11121,2021.011.010.0,1.4559174,16.526085,14537.082,0.022677273
11122,2021.011.09.0,11.8220825,14.6109085,14537.082,0.091216676
11123,2021.011.010.0,15.032837,10.918655,14537.082,0.08885325
11124,2021.011.08.0,1.1807175,-3.4532623,14632.044,0.032130986
11125,2021.011.09.0,1.2724533,-4.7816544,14632.044,0.025040701
11126,2021.011.010.0,1.0889816,-2.7807312,14632.044,0.022677273
11127,2021.011.08.0,14.1154785,14.76545,14632.044,0.09830696
11128,2021.011.09.0,14.574158,11.529488,14632.044,0.091216676
11129,2021.011.010.0,15.491524,12.4291,14632.044,0.08885325
11130,2021.011.08.0,1.3641815,-3.2489014,14727.006,0.032130986
11131,2021.011.09.0,1.3641815,-4.368828,14727.006,0.025040701
11132,2021.011.09.0,15.032837,13.749466,14727.006,0.091216676
11133,2021.011.010.0,15.032837,9.240051,14727.006,0.08885325
11134,2021.011.08.0,1.4559174,-3.0001678,14821.968,0.032130986
11135,2021.011.09.0,1.5476608,-4.6667404,14821.968,0.025040701
11136,2021.011.010.0,1.2724533,-3.334961,14821.968,0.022677273
11137,2021.011.08.0,1.5476608,-2.7598343,14916.93,0.032130986
11138,2021.011.09.0,1.5476608,-4.149269,14916.93,0.025040701
