交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2021/04/01,CBO,202105  ,23.0000,買權,-,-,-,-,0,2.88,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,23.5000,買權,-,-,-,-,0,2.43,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,23.5000,賣權,-,-,-,-,0,0.03,11,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,24.0000,買權,-,-,-,-,0,2.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,24.0000,賣權,-,-,-,-,0,0.08,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,24.5000,買權,-,-,-,-,0,1.63,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,24.5000,賣權,-,-,-,-,0,0.15,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,25.0000,買權,-,-,-,-,0,1.28,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,25.0000,賣權,-,-,-,-,0,0.28,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,26.0000,買權,-,-,-,-,0,0.74,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,26.0000,賣權,-,-,-,-,0,0.7,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,27.0000,買權,-,-,-,-,0,0.38,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,27.0000,賣權,-,-,-,-,0,1.38,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,28.0000,買權,-,-,-,-,0,0.17,8,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,28.0000,賣權,-,-,-,-,0,2.24,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,29.0000,買權,-,-,-,-,0,0.07,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,29.0000,賣權,-,-,-,-,0,3.19,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,30.0000,買權,-,-,-,-,0,0.03,0,-,-,-,-,,一般,
2021/04/01,CBO,202105  ,30.0000,賣權,-,-,-,-,0,4.18,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,16.0000,買權,-,-,-,-,0,9.8,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,16.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2021/04/01,CBO,202106  ,17.0000,買權,-,-,-,-,0,8.8,0,-,-,-,-,,一般,
